"User-added Compound","LINCS Analog","LINCS Analog Name","Similarity"
"60823","LSM-5164","XUKUURHRXDUEBC-UHFFFAOYSA-N",1
"60823","LSM-5771","Atorvastatin",1
"60823","LSM-43826","MLS000331001",0.808
"60823","LSM-5381","Neurodazine",0.786
"60823","LSM-4923","BIX-01338",0.784
"60823","LSM-1079","TORIN1",0.784
"60823","LSM-45630","SLx-2119",0.78
"60823","LSM-1035","AKT Inhibitor VIII",0.78
"60823","LSM-42689","Fcodpguefhccia-Uhfffaoysa-N",0.779
"60823","LSM-2740","133040-77-4",0.778
"60823","LSM-15243","MLS000587039",0.776
"60823","LSM-33459","SMR000200716",0.776
"60823","LSM-1884","MLS002576689",0.775
"60823","LSM-3487","MLS000862515",0.775
"60823","LSM-6006","Pranlukast",0.775
"60823","LSM-24437","6-[[(5-Bromo-3-phenyl-1H-indole-2-carbonyl)hydrazinylidene]methyl]-2,3-dimethoxybenzoic acid",0.775
"60823","LSM-44526","JNK-IN-11",0.774
"60823","LSM-1194","TIE2 Kinase Inhibitor",0.772
"60823","LSM-33544","KUC100196",0.772
"60823","LSM-4255","Dactolisib",0.771
"60823","LSM-16731","MLS000713936",0.771
"60823","LSM-45317","WH-4-025",0.771
"60823","LSM-2604","MLS000862518",0.769
"60823","LSM-45579","Elacridar",0.769
"60823","LSM-45225","THZ1",0.769
"60823","LSM-27728","ST50902035",0.768
"60823","LSM-1201","NVP-BHG712",0.767
"60823","LSM-19019","Irigenin, Dibenzyl Ether",0.767
"60823","LSM-2382","UNII-BXU45ZH6LI",0.765
"60823","LSM-32162","MLS000572016",0.765
"60823","LSM-1113","N-(3-Fluoro-4-((7-methoxyquinolin-4-yl)oxy)phenyl)-1-(2-hydroxy-2-methylpropyl)-5-methyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazole-4-carboxamide",0.764
"60823","LSM-3219","Ntzdpa",0.763
"60823","LSM-1174","SAR245409",0.762
"60823","LSM-2679","SMR000200744",0.762
"60823","LSM-21126","AC1N59AI",0.76
"60823","LSM-23825","STK006204",0.76
"60823","LSM-37241","BML-266",0.76
"60823","LSM-4066","MLS003221407",0.757
"60823","LSM-4853","MLS002302556",0.757
"60823","LSM-31290","SMR000151890",0.757
"60823","LSM-2218","MLS-0257792.0001",0.757
"60823","LSM-45291","Conivaptan HCl",0.757
"60823","LSM-22894","T0518-6531",0.755
"60823","LSM-31295","Methyl 4-({[2-(pyridin-2-yl)quinolin-4-yl]carbonyl}amino)benzoate",0.755
"60823","LSM-32430","ST50889435",0.755
"60823","LSM-21138","AC1NML9N",0.755
"60823","LSM-4706","F1566-0341",0.755
"60823","LSM-31931","AC1MOVWK",0.755
"60823","LSM-1062","GSK-1070916",0.755
"60823","LSM-16826","SMR000145385",0.752
"60823","LSM-44430","MLS000777055",0.752
"60823","LSM-2019","MLS-0226099.0001",0.752
"60823","LSM-16827","AC1M5H7K",0.752
"60823","LSM-32689","SMR000243488",0.752
"60823","LSM-45875","MK 0893",0.752
"60823","LSM-2051","Catechin Pentabenzoate",0.752
"60823","LSM-12713","CHEMBL2355072",0.752
"60823","LSM-13248","BRD-K78918239",0.752
"60823","LSM-24447","MLS000879485",0.75
"60823","LSM-45980","TG 100801",0.75
"60823","LSM-6215","CHEMBL3186197",0.748
"60823","LSM-1124","MGCD-265",0.748
"60823","LSM-27769","MLS000582933",0.748
"60823","LSM-19908","AC1O9963",0.748
"60823","LSM-19457","STK847168",0.747
"60823","LSM-6242","Quiflapon",0.745
"60823","LSM-21182","AC1OAPGU",0.745
"60823","LSM-8526","BRD-K01490356",0.745
"60823","LSM-17032","F0324-0011",0.745
"60823","LSM-42970","MLS001060805",0.745
"60823","LSM-31229","T0517-3378",0.743
"60823","LSM-11255","BRD-K46343228",0.743
"60823","LSM-11571","BRD-K51361049-001-01-0",0.743
"60823","LSM-9699","CHEMBL3183095",0.743
"60823","LSM-14296","BRD-K95666496",0.743
"60823","LSM-44935","GNF-5837",0.743
"60823","LSM-3901","BMY45778",0.743
"60823","LSM-33472","ST50837446",0.743
"60823","LSM-33570","MLS000335621",0.743
"60823","LSM-4771","ST007958",0.743
"60823","LSM-17321","CHEMDIV1_016648",0.742
"60823","LSM-5775","Suramin",0.741
"60823","LSM-5674","SCHEMBL6874948",0.741
"60823","LSM-22817","MLS000575713",0.741
"60823","LSM-12087","BRD-K60558875",0.741
"60823","LSM-13104","BRD-K76439996",0.741
"60823","LSM-1873","MLS002264411",0.74
"60823","LSM-21241","ST50922033",0.74
"60823","LSM-31940","SMR000159489",0.74
"60823","LSM-32604","SMR000236806",0.74
"60823","LSM-43718","SMR000220179",0.74
"60823","LSM-18845","ZINC05034961",0.74
"60823","LSM-32875","2-(2-Methoxyphenyl)-3-phenylbenzo[g]quinoxaline",0.74
"60823","LSM-26048","MLS000562053",0.739
"60823","LSM-5613","WH-4-023",0.738
"60823","LSM-37142","81-78-7",0.738
"60823","LSM-22876","SMR000142792",0.738
"60823","LSM-28031","AC1LNRWZ",0.738
"60823","LSM-45706","LY2801653",0.738
"60823","LSM-1135","Linsitinib",0.738
